latitude,longitude,burn_count
18.0247,98.3251,2
18.0247,98.3341,2
18.0247,98.352,1
18.0247,98.361,1
18.0247,98.37,1
18.0247,98.379,2
18.0247,98.388,2
18.0247,98.397,2
18.0247,98.4059,1
18.0247,98.4149,2
18.0247,98.4239,1
18.0247,98.4329,2
18.0247,98.4419,1
18.0247,98.4509,1
18.0247,98.4688,2
18.0247,98.4778,2
18.0247,98.4868,5
18.0247,98.4958,4
18.0247,98.5048,4
18.0247,98.5137,3
18.0247,98.5227,4
18.0247,98.5317,4
18.0247,98.5407,1
18.0247,98.5497,1
18.0247,98.5587,2
18.0247,98.5676,3
18.0247,98.5766,2
18.0247,98.5856,2
18.0247,98.5946,2
18.0247,98.6036,3
18.0247,98.6126,3
18.0247,98.6215,3
18.0247,98.6305,2
18.0247,98.6395,1
18.0247,98.6485,1
18.0247,98.6575,1
18.0247,98.6934,1
18.0247,98.7024,6
18.0247,98.7114,6
18.0247,98.7204,6
18.0247,98.7293,5
18.0247,98.7383,4
18.0247,98.7473,5
18.0247,98.7563,4
18.0247,98.7653,3
18.0247,98.7743,1
18.0247,98.7832,1
18.0247,98.7922,1
18.0247,98.8012,1
18.0247,98.8102,3
18.0247,98.8192,2
18.0247,98.8282,2
18.0247,98.8371,1
18.0247,98.8461,2
18.0247,98.8551,2
18.0247,98.8641,2
18.0247,98.8731,2
18.0247,98.8821,1
18.0247,98.891,1
18.0247,98.9,1
18.0247,98.909,1
18.0247,98.918,3
18.0247,98.927,4
18.0247,98.936,4
18.0247,98.9449,4
18.0247,98.9539,3
18.0247,98.9629,2
18.0247,98.9719,1
18.0247,98.9809,1
18.0247,98.9899,1
18.0247,99.0078,1
18.0247,99.0168,1
18.0247,99.0438,1
18.0247,99.0527,2
18.0247,99.0617,6
18.0247,99.0707,5
18.0247,99.0797,5
18.0247,99.0887,5
18.0247,99.0977,3
18.0247,99.1066,3
18.0247,99.1156,2
18.0247,99.1246,2
18.0247,99.1336,2
18.0247,99.1426,1
18.0247,99.1515,3
18.0247,99.1605,3
18.0247,99.1695,3
18.0247,99.1785,2
18.0247,99.1875,1
18.0247,99.2144,1
18.0247,99.2234,1
18.0247,99.2324,1
18.0247,99.2414,1
18.0247,99.2773,2
18.0247,99.2863,2
18.0247,99.2953,2
18.0247,99.3132,1
18.0247,99.3222,1
18.0247,99.3312,2
18.0247,99.3402,3
18.0247,99.3492,3
18.0247,99.3582,3
18.0247,99.3671,4
18.0247,99.3761,3
18.0247,99.3851,3
18.0247,99.3941,2
18.0247,99.4031,1
18.0247,99.4121,1
18.0247,99.439,1
18.0247,99.448,3
18.0247,99.457,3
18.0247,99.466,1
18.0247,99.4749,1
18.0247,99.4839,1
18.0247,99.4929,1
18.0337,98.1993,3
18.0337,98.2083,1
18.0337,98.2173,1
18.0337,98.2263,2
18.0337,98.2353,2
18.0337,98.2443,3
18.0337,98.2532,4
18.0337,98.2622,4
18.0337,98.2712,4
18.0337,98.2802,3
18.0337,98.2892,4
18.0337,98.2981,4
18.0337,98.3071,3
18.0337,98.3161,3
18.0337,98.3251,3
18.0337,98.3341,2
18.0337,98.3431,1
18.0337,98.37,1
18.0337,98.379,2
18.0337,98.388,2
18.0337,98.397,2
18.0337,98.4059,2
18.0337,98.4149,3
18.0337,98.4239,2
18.0337,98.4329,1
18.0337,98.4509,1
18.0337,98.4598,1
18.0337,98.4688,3
18.0337,98.4778,2
18.0337,98.4868,2
18.0337,98.4958,5
18.0337,98.5048,4
18.0337,98.5137,3
18.0337,98.5227,2
18.0337,98.5317,1
18.0337,98.5407,1
18.0337,98.5766,1
18.0337,98.5856,2
18.0337,98.5946,3
18.0337,98.6036,3
18.0337,98.6126,3
18.0337,98.6215,2
18.0337,98.6305,2
18.0337,98.6395,1
18.0337,98.6754,1
18.0337,98.6844,1
18.0337,98.6934,2
18.0337,98.7024,1
18.0337,98.7114,2
18.0337,98.7204,4
18.0337,98.7293,4
18.0337,98.7383,4
18.0337,98.7473,3
18.0337,98.7563,5
18.0337,98.7653,6
18.0337,98.7743,6
18.0337,98.7832,5
18.0337,98.7922,4
18.0337,98.8012,1
18.0337,98.8102,1
18.0337,98.8192,2
18.0337,98.8282,2
18.0337,98.8371,2
18.0337,98.8461,3
18.0337,98.8551,3
